Var1	Var2	value
746	Batch1	-0.772
848	Batch1	0.112
1001	Batch1	-0.904
1076	Batch1	-0.393
1122	Batch1	-0.208
1149	Batch1	-0.869
1257	Batch1	-0.142
1292	Batch1	0.529
1433	Batch1	0.344
1505	Batch1	-0.811
1644	Batch1	-0.933
1733	Batch1	0.682
2711	Batch1	-0.774
2839	Batch1	0.941
746	Batch2	-0.629
848	Batch2	0.895
1001	Batch2	-0.763
1076	Batch2	0.83
1122	Batch2	-0.706
1149	Batch2	-0.037
1257	Batch2	-0.848
1292	Batch2	0.951
1433	Batch2	0.908
1505	Batch2	0.42
1644	Batch2	-0.769
1733	Batch2	0.843
2711	Batch2	0.731
2839	Batch2	0.973
746	Batch3	-0.486
848	Batch3	0.861
1001	Batch3	-0.723
1076	Batch3	0.06
1122	Batch3	0.531
1149	Batch3	-0.579
1257	Batch3	0.493
1292	Batch3	0.572
1433	Batch3	0.341
1505	Batch3	-0.532
1644	Batch3	-0.838
1733	Batch3	0.095
2711	Batch3	-0.337
2839	Batch3	0.972
