class	F1096	HB3
1	0.389427107	70
1	0.361401231	67
1	0.345916703	67
1	0.272703412	51
1	0.232953023	47
2	0.299636446	57.58522913
2	0.271917259	50.78643077
2	0.203743534	44.58244059
2	0.129203574	34.52702786
2	0.086768027	25.88786484
3	0.04564691	17.6
3	0.055934253	19.3
3	0.038844562	18.6
3	0.195466947	37.7
3	0.155299857	37.9
3	0.183815736	36.4
3	0.163201848	35.1
3	0.133367706	31.6
3	0.296612847	51.7
3	0.258253613	49.5
3	0.221803125	45.9
3	0.186929898	39.9
3	0.202658378	41.9
3	0.07087246	16.8
3	0.060478934	17.2
4	0.068180203	17.6
4	0.051822531	19.3
4	0.071938943	18.6
4	0.210014886	37.7
4	0.207116391	37.9
4	0.186261752	36.4
4	0.17776307	35.1
4	0.127955969	31.6
4	0.282745917	51.7
4	0.256525276	49.5
4	0.212971264	45.9
4	0.184609974	39.9
4	0.220281884	41.9
4	0.098538419	16.8
4	0.062086564	17.2

