Wavelength	A1	A5
549	0.015438546	0.008341541
551	0.01917045	0.006308468
553	0.02149699	0.004997604
556	0.022402204	0.003835015
558	0.02259574	0.003162724
560	0.021804569	0.003052462
563	0.022522801	0.00354157
565	0.024308144	0.004458937
567	0.027516962	0.006582754
570	0.028769779	0.009089974
572	0.031986687	0.013613508
574	0.033710108	0.020091323
577	0.032298848	0.029872838
579	0.031016401	0.043524116
581	0.030990472	0.061667492
584	0.032498301	0.083401978
586	0.038984276	0.108579551
588	0.048852629	0.135156149
591	0.060055715	0.160806534
593	0.072979847	0.184576391
595	0.082863585	0.203745059
598	0.088797918	0.217259485
600	0.087238709	0.225460456
602	0.082765033	0.228352845
605	0.076494756	0.228410561
607	0.071398746	0.22582251
609	0.069406887	0.222782643
612	0.071440839	0.219376185
614	0.075304898	0.214888071
616	0.081515075	0.210951681
619	0.086101861	0.205314096
621	0.08916775	0.198773829
623	0.091520842	0.191684342
626	0.094977554	0.184771322
628	0.102298183	0.180122356
630	0.112333355	0.177601164
633	0.123324366	0.178258376
635	0.134341461	0.179727595
637	0.140512384	0.179483453
640	0.142965953	0.1770613
642	0.141430264	0.171080521
644	0.139939622	0.162257423
646	0.13789443	0.149795085
649	0.136498237	0.135181294
651	0.13907335	0.120324666
653	0.145635637	0.108076089
656	0.151798157	0.098708246
658	0.160462226	0.092367374
660	0.168711882	0.089228062
663	0.177692684	0.089559601
665	0.18842112	0.09277371
667	0.199116808	0.097213976
670	0.207033773	0.101279882
672	0.214783111	0.104422509
674	0.219772581	0.105887502
677	0.22431599	0.106405827
679	0.224941483	0.105462895
681	0.2258487	0.10413446
683	0.226001361	0.102384138
686	0.223943807	0.100738987
688	0.223143668	0.099886269
690	0.221380373	0.098817316
693	0.220353044	0.09794297
695	0.221277935	0.097188372
697	0.222317137	0.096292746
700	0.226321195	0.09638521
702	0.230954908	0.097031589
704	0.23979646	0.100027758
706	0.249314211	0.104611392
709	0.258289035	0.110254852
711	0.271433188	0.11808918
713	0.28184479	0.12605254
716	0.292890006	0.133248464
718	0.301705033	0.13943362
720	0.308631524	0.143485224
723	0.314663834	0.145931795
725	0.320551537	0.14682331
727	0.336763963	0.149096196
729	0.370464618	0.153518336
732	0.431968163	0.164536256
734	0.524085334	0.188307342
736	0.633520263	0.22535673
739	0.739097504	0.266721653
741	0.808751289	0.299609967
743	0.826026599	0.315099412
745	0.794477768	0.312828662
748	0.716049007	0.291684682
750	0.61397535	0.256498293
752	0.511272087	0.214774172
755	0.424432329	0.175343106
757	0.369351159	0.148587761
759	0.345362201	0.135897853
761	0.33721559	0.130842824
764	0.334191023	0.127532681
766	0.335176869	0.125090643
768	0.344570155	0.12591321
771	0.356525251	0.127451321
773	0.369502459	0.130228086
775	0.380067674	0.133758926
777	0.385004716	0.136769742
780	0.38486931	0.139607951
782	0.377961586	0.141142508
784	0.369508503	0.141934756
787	0.358746413	0.141680136
789	0.35028549	0.141683727
791	0.34369728	0.142983072
793	0.340096994	0.144884014
796	0.337819617	0.148341351
798	0.33832204	0.154568172
800	0.34117452	0.165525657
802	0.345447259	0.183518927
805	0.351454123	0.211362839
807	0.35837522	0.25099254
809	0.36665838	0.304766122
812	0.375156439	0.372214269
814	0.384833613	0.452367718
816	0.393716893	0.537320954
818	0.402487291	0.619687885
821	0.408595186	0.69411493
823	0.409216775	0.756754599
825	0.407617228	0.80588739
827	0.404498039	0.836542072
830	0.395726082	0.841149419
832	0.389942165	0.820714428
834	0.388948367	0.782339274
837	0.391399567	0.733092528
839	0.39901172	0.6818334
841	0.410107584	0.63951716
843	0.422351243	0.613730768
846	0.429987137	0.6099677
848	0.438097513	0.626346192
850	0.443148579	0.648410195
852	0.441652551	0.65986657
855	0.439705819	0.653863334
857	0.436320154	0.625144833
859	0.432539962	0.577363772
861	0.430212686	0.520544608
864	0.432917743	0.467608029
866	0.435171892	0.424098348
868	0.438738938	0.398725372
870	0.445321526	0.390527001
873	0.451333866	0.396318907
875	0.456490025	0.409961053
877	0.462765619	0.428175905
879	0.466201293	0.447426698
882	0.473991404	0.475268112
884	0.480694991	0.510038219
886	0.491753351	0.550532779
889	0.49986866	0.591718725
891	0.509081157	0.628178424
893	0.515396379	0.653771126
895	0.521577784	0.668564361
898	0.525555153	0.668575587
900	0.528072329	0.656569462
902	0.535089548	0.637346488
904	0.544269077	0.615117378
907	0.557692802	0.590537934
909	0.572382212	0.565946149
911	0.586496991	0.545023681
913	0.597213749	0.526784096
915	0.603908206	0.512496193
918	0.607335235	0.502150824
920	0.604759869	0.491498223
922	0.600370273	0.477047976
924	0.59841798	0.458127235
927	0.594691975	0.431982655
929	0.594818015	0.402234519
931	0.594981045	0.375387056
933	0.593068499	0.355150592
936	0.594107823	0.347747408
938	0.595924728	0.352914715
940	0.596597362	0.36871028
942	0.598319514	0.392129896
945	0.604578706	0.416719649
947	0.608972263	0.437735494
949	0.613242375	0.451331005
951	0.618763701	0.456018171
954	0.627408358	0.453486466
956	0.630457661	0.444585968
958	0.638420383	0.4362559
960	0.64479998	0.426755889
963	0.648115992	0.418346179
965	0.649994411	0.413419978
967	0.651551761	0.408822774
969	0.651449291	0.404242107
971	0.650755579	0.396744284
974	0.65219584	0.384120454
976	0.659912026	0.368479851
978	0.663205357	0.348343729
980	0.671187442	0.327410146
983	0.680317288	0.305132951
985	0.698012238	0.286656256
987	0.725689797	0.278308795
989	0.761886633	0.279200794
992	0.789927014	0.282904419
994	0.804258542	0.285044613
996	0.799966628	0.283600188
998	0.781336359	0.279573436
1000	0.743937639	0.270144335
1003	0.697923561	0.257470569
1005	0.649635361	0.241569319
1007	0.614196973	0.229292644
