748,832,996,1051,1096,1122,1230,1296,1343,1445,1573,1722,PHA,predicted,predicted1,,,actual,predicted,
0.079581362,0.420715325,0.21675309,0.024982572,0.389427107,0.252551635,0.185677175,0.150824685,0.147070988,0.350487628,0.056671644,0.708685116,74.44,64.34934283,64.40333526,10.09065717,0,74.44,64.34934283,1
0.046281142,0.545976786,0.183846222,0.015329269,0.361401231,0.244932186,0.16613631,0.177870472,0.185622441,0.298035972,0.03899913,1122,77.46,72.90506105,73.33712475,4.554938953,0,77.46,72.90506105,1
0.115216683,0.299455236,0.296726606,0.023752581,0.345916703,0.292600251,0.205298266,0.106044188,0.207799182,0.348972456,0.08264259,0.813014641,82.31,72.56719095,72.98195232,9.74280905,0,82.31,72.56719095,1
0.101801434,0.210887373,0.359147391,0.019784446,0.272703412,0.313896435,0.185515338,0.099888773,0.235145684,0.325139323,0.086515674,0.83028013,69.86,73.92716231,74.41275538,4.067162314,0,69.86,73.92716231,1
0.175404806,0.157799516,0.338302594,0.032202856,0.232953023,0.259359211,0.222384111,0.103877317,0.239060095,0.28991743,0.131251362,0.782625518,69.26,70.17349466,70.47126083,0.913494656,0,69.26,70.17349466,1
0.327407167,0.237203123,0.223919212,0.057548845,0.299636446,0.186546639,0.326702798,0.150652446,0.178010834,0.31172637,0.189836666,0.662678164,62.10386175,60.72545837,60.65702159,1.378403377,0,62.10386175,60.72545837,1
0.158015166,0.257402873,0.266090651,0.032628808,0.271917259,0.236883906,0.218848553,0.098331605,0.179964679,0.288529975,0.119359295,0.731484207,64.38052333,66.14518602,66.2681643,1.764662691,0,64.38052333,66.14518602,1
0.172989119,0.114148757,0.322454002,0.029986416,0.203743534,0.251828227,0.22177607,0.088927247,0.221606541,0.259271821,0.13313271,0.770474515,65.94984453,69.21638211,69.470108,3.266537582,0,65.94984453,69.21638211,1
0.309155493,0.075638137,0.286229169,0.067093006,0.129203574,0.202568394,0.314574014,0.0899874,0.241088854,0.209591759,0.220995912,0.663377623,58.01706351,60.78055349,60.71381006,2.763489984,0,58.01706351,60.78055349,1
0.383861963,0.047265195,0.240065329,0.092998011,0.086768027,0.161778118,0.366789455,0.089025851,0.247273703,0.18586578,0.269928086,0.547413092,47.39367309,51.64623698,51.36960097,4.25256389,0,47.39367309,51.64623698,1
0.520760651,0.006825237,0.021097475,0.1949026,0.026333117,0.000255861,0.451219979,0.090377711,0.196952328,0.165085862,0.350931311,0,5.57,8.527497109,9.184925609,2.957497109,0,5.57,8.527497109,1
