class	DF3HB	DF4HB
Actual	17.6	6.6
Actual	19.3	8.7
Actual	18.6	9.6
Actual	37.7	4
Actual	37.9	8.5
Actual	36.4	11.8
Actual	35.1	14.6
Actual	31.6	16.9
Actual	51.7	4.4
Actual	49.5	10.1
Actual	45.9	14.6
Actual	39.9	18.9
Actual	41.9	16.6
Actual	16.8	2.7
Actual	17.2	4.8
Prediction	21.09384278	6.76057068
Prediction	18.58097721	7.41231013
Prediction	21.67126042	4.96035009
Prediction	42.88248679	3.15645694
Prediction	42.43721999	7.78388401
Prediction	39.23353034	11.21175284
Prediction	37.92796281	14.55094121
Prediction	30.27659596	19.65764314
Prediction	54.05542777	5.46512174
Prediction	50.0274129	11.19916744
Prediction	43.33664558	19.93880831
Prediction	38.97978421	21.7532204
Prediction	44.45970302	17.31865093
Prediction	25.75747193	1.54363536
Prediction	20.15773796	2.31258145


