class	PHA
Actual	5.57
Actual	9.93
Actual	20.7
Actual	36.21
Actual	45.17
Actual	53.66
Actual	57.78
Actual	24.2
Actual	28
Actual	28.2
Actual	41.7
Actual	46.4
Actual	48.2
Actual	49.7
Actual	48.5
Actual	56.1
Actual	59.6
Actual	60.5
Actual	58.8
Actual	58.5
Actual	19.5
Actual	22
Prediction	8.53
Prediction	14.08411205
Prediction	27.86026327
Prediction	40.77053012
Prediction	52.32886644
Prediction	53.79929473
Prediction	55.19721029
Prediction	27.85441346
Prediction	25.99328734
Prediction	26.63161051
Prediction	46.03894373
Prediction	50.221104
Prediction	50.44528318
Prediction	52.47890402
Prediction	49.9342391
Prediction	59.52054951
Prediction	61.22658034
Prediction	63.27545389
Prediction	60.73300461
Prediction	61.77835395
Prediction	24.21383657
Prediction	22.47031941
