class	E3HB	E4HB
Actual	29.75	10.41
Actual	29.85	11.27
Actual	46.05	4.47
Actual	44.17	11.17
Actual	45.81	15.07
Actual	45.28	19.16
Actual	42.82	17.99
Actual	53.37	5.92
Actual	49.87	13.25
Actual	45.41	15.89
Actual	41.35	21.7
Actual	44.84	18.46
Actual	25.57	3.4
Actual	30.88	6.11
Actual	29.21	8.49
Prediction	22.93237079	9.228700265
Prediction	29.17104966	14.81310726
Prediction	49.15286699	8.444030429
Prediction	46.26631293	12.73696581
Prediction	44.75199917	18.45335667
Prediction	45.36974437	22.256524
Prediction	35.25263426	20.57391379
Prediction	55.81376505	0.898639316
Prediction	57.44887498	9.137092886
Prediction	55.49930553	13.20918836
Prediction	39.06676446	28.48846597
Prediction	43.80572793	24.09986288
Prediction	22.6997941	4.267635685
Prediction	27.91384539	8.33991628
Prediction	25.41795898	9.872467099


