class	PHA
Actual	40.16
Actual	41.12
Actual	50.52
Actual	55.34
Actual	60.88
Actual	64.44
Actual	60.81
Actual	59.29
Actual	63.12
Actual	61.3
Actual	4.98
Actual	63.05
Actual	63.3
Actual	20.44
Actual	38.18
Actual	46.63
Actual	56.32
Actual	59.36
Actual	28.97
Actual	36.99
Actual	37.7
Prediction	32.16107105
Prediction	43.98415692
Prediction	57.59689742
Prediction	59.00327874
Prediction	63.20535584
Prediction	67.62626837
Prediction	55.82654805
Prediction	56.71240437
Prediction	66.58596787
Prediction	68.70849389
Prediction	8.695212198
Prediction	67.55523043
Prediction	67.90559081
Prediction	17.64524431
Prediction	35.78431476
Prediction	55.59175532
Prediction	54.70218389
Prediction	59.22799072
Prediction	26.96742978
Prediction	36.25376167
Prediction	35.29042608
