class	M3HB
Actual	70
Actual	67
Actual	67
Actual	51
Actual	47
Actual	57.58522913
Actual	50.78643077
Actual	44.58244059
Actual	34.52702786
Actual	25.88786484
Actual	17.6
Actual	19.3
Actual	18.6
Actual	37.7
Actual	37.9
Actual	36.4
Actual	35.1
Actual	31.6
Actual	51.7
Actual	49.5
Actual	45.9
Actual	39.9
Actual	41.9
Actual	16.8
Actual	17.2
Prediction	70.44191684
Prediction	66.13648816
Prediction	63.75770325
Prediction	52.51043295
Prediction	46.40384542
Prediction	56.64797559
Prediction	52.3896615
Prediction	41.91658616
Prediction	30.46550853
Prediction	23.94641806
Prediction	17.62925472
Prediction	19.20963071
Prediction	16.5842553
Prediction	40.64510922
Prediction	34.47450669
Prediction	38.85521127
Prediction	35.68843694
Prediction	31.1052164
Prediction	56.18348021
Prediction	50.29060656
Prediction	44.69096085
Prediction	39.33361924
Prediction	41.74988087
Prediction	21.50448797
Prediction	19.90779979
