class	PHA
Actual	74.44
Actual	77.46
Actual	82.31
Actual	69.86
Actual	69.26
Actual	62.10386175
Actual	64.38052333
Actual	65.94984453
Actual	58.01706351
Actual	47.39367309
Actual	5.57
Actual	9.93
Actual	20.7
Actual	36.21
Actual	45.17
Actual	53.66
Actual	57.78
Actual	24.2
Actual	28
Actual	28.2
Actual	41.7
Actual	46.4
Actual	48.2
Actual	49.7
Actual	48.5
Actual	56.1
Actual	59.6
Actual	60.5
Actual	58.8
Actual	58.5
Actual	19.5
Actual	22
Prediction	64.34934283
Prediction	72.90506105
Prediction	72.56719095
Prediction	73.92716231
Prediction	70.17349466
Prediction	60.72545837
Prediction	66.14518602
Prediction	69.21638211
Prediction	60.78055349
Prediction	51.64623698
Prediction	8.527497109
Prediction	11.40128869
Prediction	20.22422343
Prediction	31.29847032
Prediction	49.86498402
Prediction	51.80286028
Prediction	59.50459416
Prediction	22.88167762
Prediction	26.37842753
Prediction	21.81661673
Prediction	42.33960512
Prediction	42.12317155
Prediction	50.15832386
Prediction	49.66618807
Prediction	50.6358324
Prediction	58.25037453
Prediction	61.45008502
Prediction	60.73327872
Prediction	62.87697193
Prediction	60.5896973
Prediction	21.23500657
Prediction	23.89972248
