class	F1722	PHA
1	0.708685116	74.44
1	0.817304064	77.46
1	0.813014641	82.31
1	0.83028013	69.86
1	0.782625518	69.26
2	0.662678164	62.10386175
2	0.731484207	64.38052333
2	0.770474515	65.94984453
2	0.663377623	58.01706351
2	0.547413092	47.39367309
3	0.00029	5.57
3	0.036484163	9.93
3	0.148495553	20.7
3	0.289088431	36.21
3	0.524799231	45.17
3	0.5494015	53.66
3	0.647178707	57.78
3	0.182233209	24.2
3	0.226626127	28
3	0.16871175	28.2
3	0.429260935	41.7
3	0.426513207	46.4
3	0.528523321	48.2
3	0.522275421	49.7
3	0.534585521	48.5
3	0.631255787	56.1
3	0.671877647	59.6
3	0.662777447	60.5
3	0.689992661	58.8
3	0.660954612	58.5
3	0.16132793	19.5
3	0.195157777	22
4	0.0003	5.57
4	0.0705105	9.93
4	0.245401336	20.7
4	0.409299608	36.21
4	0.556034867	45.17
4	0.574702231	53.66
4	0.592449033	57.78
4	0.245327072	24.2
4	0.221699725	28
4	0.229803358	28.2
4	0.476183112	41.7
4	0.529276425	46.4
4	0.532122422	48.2
4	0.557939622	49.7
4	0.525634621	48.5
4	0.647334639	56.1
4	0.668993022	59.6
4	0.695003858	60.5
4	0.662726985	58.8
4	0.675997892	58.5
4	0.199109262	19.5
4	0.176974983	22

