Number	Accuracy	sd
200	0.9767442	0.007773897
200	0.9922481	0.00505932
200	0.9767442	0.008951181
200	0.9855072	0.007773897
300	0.9889503	0.006379547
300	0.9723757	0.00843937
300	0.9834254	0.00843937
300	0.9834254	0.003189803
400	0.9919679	0.00613465
400	0.9799197	0.00401605
400	0.9839357	0.00613464
400	0.9879518	0.0040161
600	0.9944598	0.00554015
600	0.9944598	0.003198578
600	0.9889197	0.006397214
600	0.9833795	0.00554015
800	0.991984	0.002004
800	0.98998	0.002004
800	0.993988	0.003061161
800	0.995992	0.003061161
1000	0.9922481	0.002368221
1000	0.9953488	0.004101916
1000	0.9968992	0.00310075
1000	0.9891473	0.003901701
