Var1	Var2	value
748	PHA	-0.79
832	PHA	0.93
996	PHA	0.96
1051	PHA	-0.95
1096	PHA	0.87
1122	PHA	0.94
1230	PHA	-0.67
1296	PHA	0.47
1343	PHA	-0.23
1445	PHA	0.86
1569	PHA	-0.86
1722	PHA	0.99
748	3HB	-0.84
832	3HB	0.98
996	3HB	0.93
1051	3HB	-0.85
1096	3HB	0.98
1122	3HB	0.95
1230	3HB	-0.73
1296	3HB	0.43
1343	3HB	-0.44
1445	3HB	0.96
1569	3HB	-0.87
1722	3HB	0.94
748	4HB	-0.51
832	4HB	0.41
996	4HB	0.62
1051	4HB	-0.74
1096	4HB	0.25
1122	4HB	0.59
1230	4HB	-0.53
1296	4HB	-0.49
1343	4HB	0.1
1445	4HB	0.3
1569	4HB	-0.52
1722	4HB	0.63
