Var1	Var2	value
720	Batch1	0.895
743	Batch1	-0.802
777	Batch1	0.916
845	Batch1	0.441
908	Batch1	0.905
996	Batch1	0.961
1116	Batch1	-0.823
1230	Batch1	0.939
1304	Batch1	-0.758
1326	Batch1	0.943
1445	Batch1	0.836
1567	Batch1	0.992
1650	Batch1	0.885
720	Batch2	0.781
743	Batch2	-0.714
777	Batch2	0.881
845	Batch2	-0.601
908	Batch2	-0.531
996	Batch2	0.766
1116	Batch2	-0.817
1230	Batch2	0.856
1304	Batch2	-0.285
1326	Batch2	0.893
1445	Batch2	0.817
1567	Batch2	0.748
1650	Batch2	0.869
720	Batch3	0.977
743	Batch3	-0.462
777	Batch3	0.968
845	Batch3	-0.489
908	Batch3	-0.383
996	Batch3	0.856
1116	Batch3	-0.473
1230	Batch3	0.932
1304	Batch3	-0.178
1326	Batch3	0.91
1445	Batch3	0.376
1567	Batch3	0.743
1650	Batch3	0.69



